epoch,n, train_loss, valid_loss
120,3, 144.4125573730, 76.7016468811,
120,4, 173.4876165771, 134.8640921021,
121,0, 137.6505056763, 653.4272692871,
121,1, 188.0323403931, 198.9674987793,
121,2, 140.5753767395, 133.7851388550,
121,3, 197.2810586548, 135.1878282166,
121,4, 183.5825831604, 148.4949932861,
122,0, 220.8367105103, 103.2931948853,
122,1, 172.7906054687, 68.3316317749,
122,2, 176.7663815308, 85.8028123474,
122,3, 159.6722665405, 49.4055850220,
122,4, 157.1135559082, 257.9289910889,
123,0, 176.0172595215, 244.4463256836,
123,1, 138.2469956970, 38.9632552338,
123,2, 139.1447454834, 37.6245952606,
123,3, 116.5598037720, 39.3252004242,
123,4, 137.7497717285, 219.3915655518,
124,0, 158.5986499023, 85.0081477356,
124,1, 137.6259197998, 175.2619805908,
124,2, 146.1312617493, 220.0540649414,
124,3, 178.0032623291, 705.2060449219,
124,4, 167.5923690796, 170.9441220093,
125,0, 181.0384378052, 119.2213647461,
125,1, 178.8533602905, 129.3791659546,
125,2, 193.0611282349, 99.7885421753,
125,3, 169.1556201172, 83.1511381531,
125,4, 161.4373051453, 127.6170019531,
126,0, 154.7615924072, 343.3984191895,
126,1, 128.9991732788, 67.6754350281,
126,2, 193.0074150085, 107.6465898132,
126,3, 198.5904521179, 413.4682635498,
126,4, 180.4191168213, 110.8490655518,
127,0, 162.2725985718, 347.2369384766,
127,1, 208.4297695923, 81.6176162720,
127,2, 157.0321632385, 83.9942417908,
127,3, 218.8658404541, 160.3079846191,
127,4, 211.9916696167, 148.4955926514,
128,0, 163.3377911377, 246.8062213135,
128,1, 196.4504898071, 75.7628852844,
